Race,Sex,Age,Supervising Unit,Supervision Type,Cohort Fiscal Year,Report Fiscal Year,Supervision Start Date,Supervision End Date,Months Supervised,Supervision End Reason,Charge ID [Internal],Supervision Offense Class,Supervision Offense Type,Supervision Offense Subtype,Reincarcerated,Reincarcerated Reason,Survival Time (Days),Survival Time (Months),Reincarcerated Offense Code,Reincarcerated Offense Class,Reincarcerated Offense Type,Reincarcerated Offense Subtype,Risk Ranking
White,Male,39,Mount Pleasant Correctional Facility,Prison,2019,2022,08/09/2018,05/07/2019,8,Parole Granted,20365164,D Felony,Property,Burglary,true,New Charge,251,8.4,124.401(1)(c)(6),C Felony,Drug,Trafficking,High
White,Male,39,Districts/Compact Regions,Work Release,2019,2022,08/28/2018,11/13/2018,2,Parole Granted,20247559,C Felony,Drug,Trafficking,false,,,,,,,,High
Hispanic,Male,39,Iowa Medical & Classification Center,Work Release,2019,2022,08/13/2018,11/14/2018,3,Parole Granted,20336601,C Felony,Drug,Trafficking,true,Tech,289,9.6,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Male,38,Clarinda Correctional Facility,Prison,2019,2022,10/09/2014,01/13/2019,51,Discharged - Expiration of Sentence,20282556,D Felony,Property,Forgery/Fraud,false,,,,,,,,
Black,Male,40,Clarinda Correctional Facility,Prison,2019,2022,07/12/2018,11/09/2018,3,Discharged - Expiration of Sentence,20378088,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
White,Male,39,Newton Correctional Facility,Prison,2019,2022,04/08/2008,07/10/2018,123,Paroled to Detainer - U.S. Marshall,907784,B Felony,Violent,Other Violent,false,,,,,,,,High
Black,Male,38,North Central Correctional Facility,Prison,2019,2022,08/09/2018,02/14/2019,6,Parole Granted,20377506,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,616,20.5,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Moderate
White,Male,53,Anamosa State Penitentiary,Prison,2019,2022,02/20/2018,08/27/2018,6,Parole Granted,20426375,D Felony,Drug,Trafficking,true,New Charge,162,5.4,724.26(1),D Felony,Public Order,Weapons,Low
Black,Male,43,Clarinda Correctional Facility,Prison,2019,2022,10/24/2018,06/05/2019,7,Parole Granted,20419425,C Felony,Drug,Trafficking,true,New Charge,306,10.2,124.401(1)(c)(3),C Felony,Drug,Trafficking,Low
Black,Male,38,Mount Pleasant Correctional Facility,Prison,2019,2022,02/14/2018,07/30/2018,5,Parole Granted,20290719,C Felony,Drug,Trafficking,true,Tech,318,10.6,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
Black,Male,40,Districts/Compact Regions,Work Release,2019,2022,01/15/2019,06/27/2019,5,Parole Granted,20278570,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
Black,Male,53,Mount Pleasant Correctional Facility,Prison,2019,2022,05/02/2017,01/23/2019,20,Parole Granted,20178522,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
White,Male,38,Clarinda Correctional Facility,Prison,2019,2022,05/14/2018,03/14/2019,10,Parole Granted,20347769,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,106,3.5,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,38,North Central Correctional Facility,Prison,2019,2022,04/23/2018,12/10/2018,7,Discharged - Expiration of Sentence,20448959,Aggravated Misdemeanor,Property,Burglary,false,,,,,,,,High
Black,Male,60,Mount Pleasant Correctional Facility,Prison,2019,2022,05/15/2017,02/28/2019,21,Parole Granted,20295706,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
Black,Male,50,Districts/Compact Regions,Work Release,2019,2022,12/31/2018,03/11/2019,2,Parole Granted,20284107,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,High
Hispanic,Male,53,Newton Correctional Facility,Prison,2019,2022,04/04/2018,11/15/2018,7,Parole Granted,20451591,D Felony,Property,Forgery/Fraud,false,,,,,,,,Moderate
White,Male,39,North Central Correctional Facility,Prison,2019,2022,05/29/2018,10/29/2018,5,Paroled w/Immediate Discharge,20384212,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
White,Male,38,Newton Correctional Facility,Work Release,2019,2022,04/03/2018,10/25/2018,6,Parole Granted,20382525,D Felony,Property,Theft,true,Tech,236,7.9,714.2(2),D Felony,Property,Theft,High
White,Male,38,Fort Dodge Correctional Facility,Prison,2019,2022,08/06/2018,04/15/2019,8,Parole Granted,20470750,D Felony,Drug,Drug Possession,true,New Charge,364,12.1,124.401(5)(c),D Felony,Drug,Drug Possession,High
Black,Male,40,Iowa Medical & Classification Center,Work Release,2019,2022,07/09/2018,09/14/2018,2,Parole Granted,784678,B Felony,Other,Other Criminal,true,Tech,136,4.5,706A.4,B Felony,Other,Other Criminal,High
White,Female,45,Iowa Correctional Institution for Women,Prison,2019,2022,02/16/2018,12/05/2018,9,Parole Granted,20444504,D Felony,Drug,Drug Possession,false,,,,,,,,High
Black,Male,42,Districts/Compact Regions,Work Release,2019,2022,07/05/2018,08/03/2018,0,Parole Granted,20173357,B Felony,Violent,Other Violent,false,,,,,,,,Moderate
White,Male,38,Iowa Medical & Classification Center,Work Release,2019,2022,05/22/2018,12/24/2018,7,Parole Granted,20284014,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,280,9.3,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,58,Mount Pleasant Correctional Facility,Prison,2019,2022,07/05/2018,05/16/2019,10,Parole Granted,738631,B Felony,Violent,Robbery,false,,,,,,,,High
White,Male,38,Districts/Compact Regions,Prison,2019,2022,10/11/2018,04/28/2019,6,Discharged - Expiration of Sentence,20310111,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Female,38,Iowa Correctional Institution for Women,Prison,2019,2022,08/09/2018,04/15/2019,8,Parole Granted,20446601,C Felony,Drug,Trafficking,true,Tech,141,4.7,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Male,38,Anamosa State Penitentiary,Prison,2019,2022,04/12/2017,10/18/2018,18,Parole Granted,20341158,D Felony,Drug,Drug Possession,false,,,,,,,,High
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,06/11/2018,11/01/2018,4,Parole Granted,20149159,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,"1,026",34.2,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,37,Iowa Medical & Classification Center,Work Release,2019,2022,08/30/2018,04/15/2019,7,Parole Granted,20202285,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,354,11.8,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Male,38,Iowa Medical & Classification Center,Prison,2019,2022,05/22/2018,09/27/2018,4,Parole Granted,20287122,C Felony,Drug,Drug Possession,false,,,,,,,,Low
White,Male,42,Newton Correctional Facility,Prison,2019,2022,06/22/2018,06/06/2019,11,Parole Granted,20424610,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,270,9.0,"902.8,A",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,21,Newton Correctional Facility,Prison,2019,2022,02/29/2016,07/02/2018,28,Parole Granted,20344993,D Felony,Violent,Sex,false,,,,,,,,
Hispanic,Male,37,Iowa Medical & Classification Center,Work Release,2019,2022,07/17/2018,10/16/2018,2,Parole Granted,20410005,D Felony,Public Order,Traffic,true,Tech,525,17.5,321.279(3),D Felony,Public Order,Traffic,High
White,Male,39,Clarinda Correctional Facility,Prison,2019,2022,09/11/2018,02/05/2019,4,Paroled w/Immediate Discharge,20336387,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,37,Districts/Compact Regions,Work Release,2019,2022,08/29/2018,11/02/2018,2,Parole Granted,20405767,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
White,Male,42,Districts/Compact Regions,Work Release,2019,2022,10/16/2018,01/24/2019,3,Parole Granted,20402913,D Felony,Property,Theft,false,,,,,,,,Low
White,Male,39,Iowa Medical & Classification Center,Work Release,2019,2022,06/08/2018,09/13/2018,3,Parole Granted,20435065,C Felony,Public Order,Other Public Order,true,Tech,259,8.6,692A.111,C Felony,Public Order,Other Public Order,Low
White,Female,38,Iowa Correctional Institution for Women,Prison,2019,2022,07/03/2018,12/21/2018,5,Paroled w/Immediate Discharge,20209052,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,41,Mount Pleasant Correctional Facility,Prison,2019,2022,07/24/2018,03/22/2019,7,Paroled w/Immediate Discharge,20445352,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,High
White,Male,37,Clarinda Correctional Facility,Prison,2019,2022,07/21/2014,08/17/2018,48,Paroled w/Immediate Discharge,20230338,C Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,40,Mount Pleasant Correctional Facility,Prison,2019,2022,10/02/2017,08/15/2018,10,Discharged - Expiration of Sentence,20426651,Simple Misdemeanor,Public Order,Other Public Order,true,New Charge,15,0.5,664A.7(1),Simple Misdemeanor,Public Order,Other Public Order,Moderate
Asian or Pacific Islander,Male,48,North Central Correctional Facility,Prison,2019,2022,09/29/2017,08/14/2018,10,Parole Granted,20385584,D Felony,Property,Burglary,false,,,,,,,,High
White,Male,49,Newton Correctional Facility,Prison,2019,2022,11/06/2018,04/22/2019,5,Parole Granted,20384612,D Felony,Property,Theft,false,,,,,,,,Low
Black,Male,39,Districts/Compact Regions,Work Release,2019,2022,04/03/2018,07/25/2018,3,Discharged - Expiration of Sentence,20345244,D Felony,Property,Vandalism,false,,,,,,,,High
Black,Male,47,Iowa Medical & Classification Center,Prison,2019,2022,10/25/2018,01/20/2019,2,Discharged - Expiration of Sentence,20386316,D Felony,Public Order,Other Public Order,true,New Charge,442,14.7,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,46,Newton Correctional Facility,Prison,2019,2022,02/21/2018,11/20/2018,8,Discharged - Expiration of Sentence,20419672,Aggravated Misdemeanor,Drug,Drug Possession,false,,,,,,,,Low
White,Female,43,Districts/Compact Regions,Work Release,2019,2022,08/17/2018,12/04/2018,3,Parole Granted,20446509,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,38,North Central Correctional Facility,Prison,2019,2022,08/20/2018,02/25/2019,6,Parole Granted,20460579,Aggravated Misdemeanor,Violent,Assault,true,Tech,52,1.7,708.2A(3B),Aggravated Misdemeanor,Violent,Assault,High
White,Male,38,North Central Correctional Facility,Prison,2019,2022,04/06/2018,04/04/2019,11,Parole Granted,20352304,C Felony,Drug,Trafficking,true,Tech,264,8.8,124.401(1)(c)(6),C Felony,Drug,Trafficking,High
White,Male,37,Districts/Compact Regions,Work Release,2019,2022,04/18/2018,07/17/2018,2,Parole Granted,20301336,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,37,North Central Correctional Facility,Prison,2019,2022,05/03/2018,12/07/2018,7,Parole Granted,20146521,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,328,10.9,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Female,41,Iowa Correctional Institution for Women,Prison,2019,2022,12/27/2017,06/27/2019,18,Parole Granted,20418721,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
Black,Male,37,Iowa Medical & Classification Center,Work Release,2019,2022,09/19/2018,11/29/2018,2,Released to Special Sentence,739189,B Felony,Other,Other Criminal,true,New Charge,333,11.1,908.5(2)A,Aggravated Misdemeanor,Other,Other Criminal,Moderate
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,05/19/2017,09/26/2018,16,Parole Granted,20408723,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,39,Mount Pleasant Correctional Facility,Prison,2019,2022,10/16/2018,02/12/2019,3,Parole Granted,20480730,Aggravated Misdemeanor,Drug,Drug Possession,true,Tech,259,8.6,"124.401(5),B",Aggravated Misdemeanor,Drug,Drug Possession,Low
White,Male,39,Clarinda Correctional Facility,Prison,2019,2022,09/18/2018,05/22/2019,8,Parole Granted,20085060,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,882,29.4,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,High
White,Male,38,Newton Correctional Facility,Prison,2019,2022,07/03/2018,03/03/2019,8,Discharged - Expiration of Sentence,20395218,Aggravated Misdemeanor,Property,Vandalism,false,,,,,,,,High
White,Male,39,Iowa Medical & Classification Center,Work Release,2019,2022,10/22/2018,02/27/2019,4,Discharged - Expiration of Sentence,20462806,Aggravated Misdemeanor,Public Order,Traffic,true,New Charge,380,12.7,321.279(3),D Felony,Public Order,Traffic,High
Black,Male,39,Fort Dodge Correctional Facility,Prison,2019,2022,08/15/2018,01/04/2019,4,Paroled to Detainer - Iowa,20475625,Aggravated Misdemeanor,Public Order,Traffic,true,New Charge,284,9.5,713.6A,D Felony,Property,Burglary,High
White,Male,39,Newton Correctional Facility,Prison,2019,2022,06/11/2018,05/30/2019,11,Parole Granted,20350239,C Felony,Drug,Trafficking,true,New Charge,712,23.7,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
Black,Female,41,Districts/Compact Regions,Work Release,2019,2022,12/17/2018,05/03/2019,4,Parole Granted,20399247,D Felony,Violent,Assault,false,,,,,,,,High
White,Male,39,Clarinda Correctional Facility,Prison,2019,2022,04/03/2018,04/30/2019,12,Parole Granted,20421359,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Low
White,Male,40,Anamosa State Penitentiary,Prison,2019,2022,04/12/2018,08/20/2018,4,Discharged - Expiration of Sentence,20369793,D Felony,Drug,Trafficking,true,New Charge,"1,081",36.0,"124.401(5),B",Aggravated Misdemeanor,Drug,Drug Possession,High
White,Male,39,Clarinda Correctional Facility,Prison,2019,2022,11/26/2018,03/18/2019,3,Paroled to Detainer - Out of State,20390958,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
Black,Male,48,Iowa Medical & Classification Center,Work Release,2019,2022,05/09/2018,08/06/2018,2,Parole Granted,20241760,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,487,16.2,"902.8,A",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
White,Female,47,Iowa Correctional Institution for Women,Prison,2019,2022,09/11/2017,07/13/2018,10,Parole Granted,20386776,D Felony,Public Order,Weapons,false,,,,,,,,High
White,Male,38,Districts/Compact Regions,Work Release,2019,2022,07/26/2018,10/16/2018,2,Parole Granted,20267966,D Felony,Drug,Drug Possession,false,,,,,,,,High
Black,Female,45,Iowa Correctional Institution for Women,Work Release,2019,2022,10/22/2018,01/25/2019,3,Parole Granted,20279539,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,94,3.1,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,Low
White,Male,44,Mount Pleasant Correctional Facility,Prison,2019,2022,01/06/2017,10/25/2018,21,Parole Granted,20384739,C Felony,Property,Theft,true,Tech,257,8.6,714.2(1),C Felony,Property,Theft,High
White,Male,38,Newton Correctional Facility,Work Release,2019,2022,12/19/2017,11/16/2018,10,Parole Granted,20365160,C Felony,Drug,Trafficking,true,Tech,294,9.8,124.401(1)(c)(6),C Felony,Drug,Trafficking,Moderate
White,Male,45,Mount Pleasant Correctional Facility,Prison,2019,2022,12/06/2018,04/30/2019,4,Parole Granted,20337989,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,39,Mount Pleasant Correctional Facility,Prison,2019,2022,01/29/2018,10/12/2018,8,Parole Granted,20349703,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,38,Mount Pleasant Correctional Facility,Prison,2019,2022,11/14/2017,02/06/2019,14,Parole Granted,20429725,D Felony,Drug,Drug Possession,true,New Charge,147,4.9,124.401(5)(c),D Felony,Drug,Drug Possession,High
White,Male,39,Districts/Compact Regions,Work Release,2019,2022,04/05/2018,07/25/2018,3,Paroled w/Immediate Discharge,20314970,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
Black,Female,38,Iowa Correctional Institution for Women,Prison,2019,2022,03/06/2018,12/28/2018,9,Parole Granted,573082,B Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Male,37,Newton Correctional Facility,Work Release,2019,2022,11/07/2017,07/03/2018,7,Parole Granted,893470,C Felony,Drug,Trafficking,true,Tech,413,13.8,124.401(1)(c)(3),C Felony,Drug,Trafficking,High
White,Male,39,Mount Pleasant Correctional Facility,Prison,2019,2022,06/30/2017,10/01/2018,15,Parole Granted,20366880,D Felony,Property,Theft,true,Tech,106,3.5,714.2(2),D Felony,Property,Theft,High
White,Male,55,Mount Pleasant Correctional Facility,Prison,2019,2022,01/22/2018,07/02/2018,5,Parole Granted,20364000,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Female,39,Iowa Correctional Institution for Women,Prison,2019,2022,05/31/2018,11/19/2018,5,Parole Granted,20218027,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
White,Male,47,Districts/Compact Regions,Work Release,2019,2022,08/01/2018,11/13/2018,3,Parole Granted,20211014,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,37,Clarinda Correctional Facility,Prison,2019,2022,01/09/2018,09/05/2018,7,Discharged - Expiration of Sentence,20367814,Serious Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,44,Districts/Compact Regions,Work Release,2019,2022,07/20/2018,09/24/2018,2,Parole Granted,883855,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
Black,Male,54,Districts/Compact Regions,Work Release,2019,2022,04/12/2019,06/13/2019,2,Released to Special Sentence,20241584,Special Sentence 2005,Violent,Sex,false,,,,,,,,Low
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,05/03/2018,10/29/2018,5,Discharged - Expiration of Sentence,20001661,C Felony,Property,Burglary,false,,,,,,,,High
White,Male,36,Iowa Medical & Classification Center,Work Release,2019,2022,04/26/2018,07/02/2018,2,Parole Granted,20407650,D Felony,Property,Forgery/Fraud,true,New Charge,253,8.4,715A.2(2)(a),D Felony,Property,Forgery/Fraud,High
White,Male,39,Mount Pleasant Correctional Facility,Prison,2019,2022,08/16/2017,10/29/2018,14,Parole Granted,20244336,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,323,10.8,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
Hispanic,Male,40,Clarinda Correctional Facility,Prison,2019,2022,04/07/2015,04/19/2019,48,Parole Granted,20310343,B Felony,Drug,Trafficking,false,,,,,,,,High
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,08/30/2018,01/14/2019,4,Parole Granted,20402891,D Felony,Drug,Drug Possession,true,Tech,211,7.0,124.401(5)(c),D Felony,Drug,Drug Possession,Low
White,Male,36,Newton Correctional Facility,Work Release,2019,2022,06/26/2018,10/24/2018,3,Parole Granted,20067187,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,218,7.3,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
Black,Male,38,Fort Dodge Correctional Facility,Prison,2019,2022,08/01/2017,04/24/2019,20,Parole Granted,20401436,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Male,62,Districts/Compact Regions,Work Release,2019,2022,06/18/2018,10/18/2018,4,Parole Granted,20280949,D Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,37,Iowa Medical & Classification Center,Prison,2019,2022,01/10/2019,01/21/2019,0,Discharged - Expiration of Sentence,20390141,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,38,Districts/Compact Regions,Work Release,2019,2022,09/19/2018,11/28/2018,2,Parole Granted,20212508,Felony - Enhancement to Original Penalty,Other,Other Criminal,false,,,,,,,,Moderate
White,Male,39,Iowa Medical & Classification Center,Work Release,2019,2022,10/30/2018,04/03/2019,5,Parole Granted,20442536,C Felony,Drug,Trafficking,true,Tech,470,15.7,124.401(1)(c)(6),C Felony,Drug,Trafficking,Low
White,Male,38,Mount Pleasant Correctional Facility,Prison,2019,2022,05/15/2018,09/25/2018,4,Discharged - Expiration of Sentence,20369601,D Felony,Drug,Drug Possession,true,New Charge,324,10.8,711.3,C Felony,Violent,Robbery,High
White,Female,38,Iowa Correctional Institution for Women,Work Release,2019,2022,10/15/2018,03/05/2019,4,Parole Granted,20352861,D Felony,Property,Burglary,false,,,,,,,,High
Black,Male,38,Iowa Medical & Classification Center,Prison,2019,2022,06/17/2019,06/20/2019,0,Discharged - Expiration of Sentence,20513846,Aggravated Misdemeanor,Violent,Assault,true,New Charge,147,4.9,711.4,D Felony,Violent,Other Violent,High
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,02/28/2018,12/10/2018,9,Discharged - Expiration of Sentence,20357710,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Moderate
Black,Male,39,Iowa Medical & Classification Center,Work Release,2019,2022,07/23/2018,10/17/2018,2,Parole Granted,20206740,D Felony,Public Order,OWI,true,Tech,439,14.6,321J.2(C),D Felony,Public Order,OWI,High
White,Male,42,Districts/Compact Regions,Work Release,2019,2022,03/07/2019,05/09/2019,2,Released to Special Sentence,20223211,Special Sentence 2005,Violent,Sex,false,,,,,,,,High
Hispanic,Female,44,Iowa Correctional Institution for Women,Prison,2019,2022,09/13/2018,02/18/2019,5,Parole Granted,20412060,D Felony,Drug,Drug Possession,false,,,,,,,,Low
Black,Male,38,Newton Correctional Facility,Work Release,2019,2022,09/25/2018,01/10/2019,3,Parole Granted,20384004,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,Tech,404,13.5,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Moderate
Black,Male,51,Clarinda Correctional Facility,Prison,2019,2022,08/25/2017,07/09/2018,10,Paroled w/Immediate Discharge,20382558,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,Moderate
Hispanic,Male,48,Mount Pleasant Correctional Facility,Prison,2019,2022,10/24/2017,07/28/2018,9,Discharged - Expiration of Sentence,20429745,Aggravated Misdemeanor,Violent,Assault,true,New Charge,178,5.9,715A.8(3)(b),D Felony,Property,Theft,High
White,Female,44,Iowa Correctional Institution for Women,Prison,2019,2022,08/11/2017,11/13/2018,15,Parole Granted,20332345,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,374,12.5,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
Black,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,01/23/2018,01/08/2019,11,Parole Granted,20017592,Felony - Enhancement to Original Penalty,Drug,Trafficking,true,New Charge,456,15.2,124.411,Felony - Enhancement to Original Penalty,Drug,Trafficking,Moderate
White,Male,38,North Central Correctional Facility,Prison,2019,2022,02/14/2018,10/15/2018,8,Discharged - Expiration of Sentence,20428439,Aggravated Misdemeanor,Property,Theft,false,,,,,,,,Low
White,Male,43,Fort Dodge Correctional Facility,Prison,2019,2022,10/17/2016,09/07/2018,22,Discharged - Expiration of Sentence,20380425,Aggravated Misdemeanor,Other,Other Criminal,false,,,,,,,,High
White,Female,41,Iowa Correctional Institution for Women,Prison,2019,2022,12/26/2017,08/07/2018,7,Discharged - Expiration of Sentence,20355189,Aggravated Misdemeanor,Property,Theft,true,New Charge,"1,073",35.8,715A.2(2)(a),D Felony,Property,Forgery/Fraud,Low
White,Male,57,Mount Pleasant Correctional Facility,Prison,2019,2022,04/02/2018,03/04/2019,11,Parole Granted,20019375,C Felony,Drug,Trafficking,false,,,,,,,,Moderate
White,Male,39,Fort Dodge Correctional Facility,Prison,2019,2022,12/05/2017,08/14/2018,8,Discharged - Expiration of Sentence,20412824,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,High
Black,Male,40,North Central Correctional Facility,Prison,2019,2022,07/06/2018,06/08/2019,11,Discharged - Expiration of Sentence,20466068,Aggravated Misdemeanor,Public Order,Traffic,false,,,,,,,,High
White,Male,41,Districts/Compact Regions,Work Release,2019,2022,02/01/2019,05/24/2019,3,Parole Granted,739806,B Felony,Violent,Murder/Manslaughter,false,,,,,,,,Low
White,Male,60,Mount Pleasant Correctional Facility,Prison,2019,2022,04/19/2016,07/20/2018,27,Parole Granted,20356750,B Felony,Drug,Trafficking,false,,,,,,,,Low
Black,Male,38,Newton Correctional Facility,Work Release,2019,2022,11/27/2018,06/14/2019,6,Parole Granted,20330608,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,Tech,361,12.0,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
American Indian or Alaska Native,Female,40,Iowa Correctional Institution for Women,Prison,2019,2022,08/01/2018,03/18/2019,7,Parole Granted,20364472,D Felony,Property,Forgery/Fraud,false,,,,,,,,Low
White,Male,38,Iowa Medical & Classification Center,Work Release,2019,2022,03/07/2019,05/07/2019,2,Parole Granted,20350141,D Felony,Property,Forgery/Fraud,true,New Charge,637,21.2,714.2(3),Aggravated Misdemeanor,Property,Theft,High
Hispanic,Male,45,Clarinda Correctional Facility,Prison,2019,2022,08/02/2018,01/25/2019,5,Discharged - Expiration of Sentence,20279771,C Felony,Drug,Trafficking,false,,,,,,,,Low
White,Male,37,Mount Pleasant Correctional Facility,Prison,2019,2022,03/20/2018,11/13/2018,7,Discharged - Expiration of Sentence,20331813,D Felony,Property,Theft,false,,,,,,,,High
White,Male,42,Mount Pleasant Correctional Facility,Prison,2019,2022,09/27/2017,03/25/2019,17,Discharged - Expiration of Sentence,20426803,Aggravated Misdemeanor,Violent,Assault,false,,,,,,,,Low
White,Male,38,Districts/Compact Regions,Work Release,2019,2022,07/16/2018,11/02/2018,3,Parole Granted,20409740,D Felony,Drug,Drug Possession,false,,,,,,,,Moderate
White,Male,40,Districts/Compact Regions,Prison,2019,2022,07/10/2018,02/27/2019,7,Paroled w/Immediate Discharge,20474964,D Felony,Property,Theft,false,,,,,,,,
White,Male,38,Newton Correctional Facility,Prison,2019,2022,08/07/2015,10/11/2018,38,Released to Special Sentence,20312470,D Felony,Violent,Sex,false,,,,,,,,
White,Male,37,Districts/Compact Regions,Prison,2019,2022,09/08/2017,07/16/2018,10,Discharged - Expiration of Sentence,20206163,D Felony,Public Order,OWI,false,,,,,,,,High
American Indian or Alaska Native,Female,48,Iowa Correctional Institution for Women,Prison,2019,2022,09/25/2017,08/30/2018,11,Parole Granted,20306579,D Felony,Public Order,OWI,false,,,,,,,,Low
White,Male,41,Newton Correctional Facility,Prison,2019,2022,10/08/2015,09/04/2018,34,Parole Granted,20332853,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,Low
Black,Male,37,Districts/Compact Regions,Work Release,2019,2022,11/20/2018,02/25/2019,3,Parole Granted,20202515,C Felony,Property,Burglary,false,,,,,,,,High
White,Female,39,Iowa Correctional Institution for Women,Prison,2019,2022,07/11/2018,01/28/2019,6,Paroled w/Immediate Discharge,20384067,Aggravated Misdemeanor,Drug,Trafficking,false,,,,,,,,Low
White,Male,37,Clarinda Correctional Facility,Prison,2019,2022,07/25/2018,06/11/2019,10,Discharged - Expiration of Sentence,20450522,Aggravated Misdemeanor,Property,Burglary,false,,,,,,,,Moderate
White,Male,37,Iowa Medical & Classification Center,Work Release,2019,2022,07/05/2018,09/10/2018,2,Parole Granted,20025477,Felony - Enhancement to Original Penalty,Other,Other Criminal,true,New Charge,119,4.0,"902.8,B",Felony - Enhancement to Original Penalty,Other,Other Criminal,High
Black,Male,38,North Central Correctional Facility,Prison,2019,2022,08/27/2018,05/29/2019,9,Parole Granted,20297207,Felony - Enhancement to Original Penalty,Drug,Trafficking,false,,,,,,,,High
